variable,stay_n,stay_level_min_of_mins,stay_level_p01_of_mins,stay_level_p50_of_mins,stay_level_p99_of_mins,stay_level_max_of_mins,stay_level_min_of_maxs,stay_level_p01_of_maxs,stay_level_p50_of_maxs,stay_level_p99_of_maxs,stay_level_max_of_maxs
bicarbonate_arterial__last__last_12h,11515,5.0,12.0,24.0,39.0,50.0,5.0,13.0,25.0,40.0,50.0
activated_partial_thromboplastin_time__last__last_12h,8083,18.0,21.299999237060547,33.400001525878906,150.0,150.0,18.299999237060547,21.582000312805178,35.599998474121094,150.0,150.0
temperature__mean__last_12h,83337,-17.77777862548828,34.67877990722656,36.57407760620117,37.486114501953125,40.75,-17.77777862548828,36.07407516479492,37.07407760620117,39.01389175415039,43374.76171875
hemoglobin__last__last_12h,11805,2.799999952316284,6.199999809265137,9.300000190734863,15.100000381469727,999999.0,3.4000000953674316,6.5,9.699999809265137,15.399999618530273,999999.0
heart_rate__mean__last_12h,85033,-20027.083984375,46.09874008178711,74.36842346191406,112.93181091308591,156.0,30.0,58.75,92.58333587646484,139.0,426152.5
arterial_blood_pressure_mean__mean__last_12h,84917,0.0,46.78454040527344,71.07691955566406,102.66666412353516,599.1666870117188,0.0,62.153846740722656,86.55555725097656,127.15208892822261,2963025.25
creatinine__last__last_12h,11579,0.0,26.520002365112305,88.4000015258789,716.0400390625,2793.440185546875,8.84000015258789,26.520002365112305,88.4000015258789,760.2400512695312,2793.440185546875
ureum__last__last_12h,11563,0.3569999933242798,1.4279999732971191,7.496999740600586,41.19065971374483,76.39799499511719,0.3569999933242798,1.4279999732971191,8.210999488830566,45.69599914550781,76.39799499511719
fluid_out_urine__mean__last_12h,61616,-287.0833435058594,0.0,56.0,550.0,3100.0,0.0,7.262500023841856,185.8333282470703,1043.1874999999945,3533.333251953125
lactate__last__last_12h,6519,0.30000001192092896,0.6000000238418579,1.5,13.800000190734863,26.0,0.30000001192092896,0.6000000238418579,1.7999999523162842,15.88199972152707,26.0
pco2_arterial__mean__last_12h,51656,0.0,21.0,38.0,72.0,226.3333282470703,0.0,26.0,43.20000076293945,90.28750114440894,235.0
respiratory_rate_measured__mean__last_12h,84950,0.0,8.9375,16.085144996643066,26.66666603088379,44.09090805053711,0.0,13.689855661392212,21.33333396911621,36.70351646423328,538512.0
o2_saturation__mean__last_12h,85022,-73085.3046875,77.50500038146973,94.9000015258789,99.46154022216797,100.0,62.0,92.91666412353516,98.23076629638672,100.0,100.0
fio2__last__last_12h,15410,0.0,5.0,40.0,100.0,5037.0,0.0,21.0,50.0,100.0,7040.0
po2_arterial__mean__last_12h,51663,-32.0,23.0,76.0,327.25,587.0,12.333333015441895,28.0,139.0,387.0,651.0
