variable,present_in_dataframe,unit,n_total_rows,n_nonmissing,pct_missing,n_unique_nonmissing,min,p001,p01,p05,median,mean,mode,p95,p99,p999,max,iqr,std,n_zero,pct_zero_among_nonmissing,n_negative,pct_negative_among_nonmissing,n_lt_0,n_gt_0,pct_missing_early,pct_missing_mid,pct_missing_late,source_table,itemids_used,aggregation_definition
bicarbonate_arterial__last__last_12h,True,,718198,17317,97.5888264796059,46,5.0,8.0,13.0,17.0,24.0,24.729341109892015,24.0,34.0,40.0,46.684000000001106,50.0,7.0,5.2245954536511094,0,0.0,0,0.0,0,17317,97.31058245234428,97.76998796119256,97.5460466419217,,,
activated_partial_thromboplastin_time__last__last_12h,True,,718198,11308,98.42550383042003,1002,18.0,19.23070029449463,21.700000762939453,24.399999618530273,35.599998474121094,46.55915279627943,150.0,97.19999694824219,150.0,150.0,150.0,29.39999771118164,26.161381912101028,0,0.0,0,0.0,0,11308,98.22841821795218,98.5539267757241,98.39064360249317,,,
temperature__mean__last_12h,True,,718198,616207,14.200958510048755,7127,-17.77777862548828,32.4804010848999,35.66666793823242,36.185184478759766,36.88888931274414,37.02073658586856,36.66666793823242,37.87963104248047,38.44444274902344,39.22222137451172,43374.76171875,0.5370407104492188,55.34896302648948,0,0.0,18,0.0029210963199054864,18,616189,10.186742241612475,17.701295942213726,9.946074655087891,,,
hemoglobin__last__last_12h,True,,718198,17356,97.5833962222117,145,2.799999952316284,5.300000190734863,6.400000095367432,7.099999904632568,9.300000190734863,240.12494987765885,8.0,13.399999618530273,15.199999809265137,17.664500627517743,999999.0,2.799999237060547,15179.69374946156,0,0.0,0,0.0,0,17356,97.05775133177322,97.74024502513986,97.77015197142657,,,
heart_rate__mean__last_12h,True,,718198,677969,5.601380120802347,21443,-20027.083984375,43.076290435791016,52.61538314819336,60.79999923706055,84.75,86.57877219321745,80.0,114.53845977783203,127.7073660278318,145.53952209473061,426152.5,22.666664123535156,520.8899682077607,19,0.0028024880193637173,1,0.00014749936944019563,1,677949,0.20873266930865386,9.002903477090857,3.4876391904194968,,,
arterial_blood_pressure_mean__mean__last_12h,True,,718198,661140,7.944605805084393,34122,0.0,42.5,55.58333206176758,62.16666793823242,78.33333587646484,87.25525586353974,75.0,103.05555000305176,114.7035851287841,133.324061721804,2963025.25,16.821426391601562,3770.191593446167,8,0.0012100311583023262,0,0.0,0,661132,1.248868139750932,11.552297995892642,6.793893129770992,,,
creatinine__last__last_12h,True,,718198,17344,97.58506707064069,140,0.0,8.84000015258789,26.520002365112305,35.36000061035156,88.4000015258789,136.35384331132212,61.880001068115234,397.8000183105469,698.3600463867188,1202.2401123046875,2793.440185546875,97.23999404907227,135.34206698017655,6,0.034594095940959406,0,0.0,0,17338,97.281183484836,97.7544083280221,97.57546046641922,,,
ureum__last__last_12h,True,,718198,17329,97.58715563117691,182,0.3569999933242798,0.7139999866485596,1.4279999732971191,2.499000072479248,8.567999839782715,11.557413845255148,4.998000144958496,31.05900001525879,44.26799774169922,61.643902282715665,76.39799499511719,9.995999336242676,9.324769478786488,0,0.0,0,0.0,0,17329,97.29117913378882,97.76503080518377,97.56565585825338,,,
fluid_out_urine__mean__last_12h,True,,718198,437340,39.10592900565025,13069,-287.0833435058594,0.0,2.857142925262451,17.0,103.63636016845703,132.35881111209878,100.0,325.0,605.8885748290976,1250.0,3533.333251953125,112.08333206176758,124.27079460448452,2306,0.5272785475831161,2,0.0004573101019801528,2,435032,34.005785716805626,40.77614899794632,42.76770081938511,,,
lactate__last__last_12h,True,,718198,9562,98.66861227683731,190,0.30000001192092896,0.5,0.6000000238418579,0.800000011920929,1.7000000476837158,2.5458972992239524,1.100000023841858,7.800000190734863,14.777999734878424,21.887799571991028,26.0,1.5,2.6762150182079476,0,0.0,0,0.0,0,9562,98.04144078459964,98.89809503576234,98.87036907346453,,,
pco2_arterial__mean__last_12h,True,,718198,233995,67.4191518216425,1861,0.0,18.428400268554686,24.0,29.0,41.0,43.10257158479328,38.0,64.5,82.0,102.5,235.0,12.0,11.196030345712904,1,0.00042735955896493514,0,0.0,0,233994,58.671519456236695,73.0132426881949,65.10329855031864,,,
respiratory_rate_measured__mean__last_12h,True,,718198,674255,6.118507709573128,9440,0.0,7.92307710647583,11.25,13.533333778381348,19.5,21.241377877418596,18.0,28.58333396911621,33.16666793823242,39.0,538512.0,6.083333969116211,689.3718323364262,46,0.006822344661886082,0,0.0,0,674209,0.5856274327645613,9.650166418808865,3.8609146298760417,,,
o2_saturation__mean__last_12h,True,,718198,676201,5.847551789339434,6719,-73085.3046875,73.33333587646484,88.38461303710938,92.33333587646484,96.76923370361328,96.36263681658517,100.0,99.80000305175781,100.0,100.0,100.0,3.1666717529296875,89.03703171211207,6,0.0008873101341169268,1,0.00014788502235282114,1,676194,0.3098651175370721,9.339990085687983,3.711744519924364,,,
fio2__last__last_12h,True,,718198,46634,93.50680453022704,66,0.0,0.0,25.0,30.0,40.0,47.426421709482355,40.0,80.0,100.0,100.0,7040.0,10.0,42.80960860454847,58,0.12437277522837414,0,0.0,0,46576,95.17445347319402,94.30422774591035,89.98459275859653,,,
po2_arterial__mean__last_12h,True,,718198,234079,67.40745588263961,7013,-32.0,20.0,29.0,36.0,95.5,106.12212131343829,89.0,221.0,313.7683355712892,436.9220000000205,651.0,57.083335876464844,58.05522565184601,1,0.0004272061996163688,1,0.0004272061996163688,1,234077,58.657995931182896,72.99907938531265,65.09839624623574,,,
