variable,value_type,rank,value,count
bicarbonate_arterial__last__last_12h,exact,1,24.0,1639
bicarbonate_arterial__last__last_12h,exact,2,25.0,1503
bicarbonate_arterial__last__last_12h,exact,3,23.0,1473
bicarbonate_arterial__last__last_12h,exact,4,26.0,1396
bicarbonate_arterial__last__last_12h,exact,5,22.0,1338
bicarbonate_arterial__last__last_12h,exact,6,27.0,1211
bicarbonate_arterial__last__last_12h,exact,7,21.0,1125
bicarbonate_arterial__last__last_12h,exact,8,28.0,972
bicarbonate_arterial__last__last_12h,exact,9,20.0,921
bicarbonate_arterial__last__last_12h,exact,10,29.0,766
bicarbonate_arterial__last__last_12h,exact,11,19.0,679
bicarbonate_arterial__last__last_12h,exact,12,30.0,614
bicarbonate_arterial__last__last_12h,exact,13,18.0,478
bicarbonate_arterial__last__last_12h,exact,14,31.0,476
bicarbonate_arterial__last__last_12h,exact,15,17.0,373
bicarbonate_arterial__last__last_12h,exact,16,32.0,372
bicarbonate_arterial__last__last_12h,exact,17,33.0,266
bicarbonate_arterial__last__last_12h,exact,18,16.0,244
bicarbonate_arterial__last__last_12h,exact,19,34.0,210
bicarbonate_arterial__last__last_12h,exact,20,15.0,180
bicarbonate_arterial__last__last_12h,rounded_2dp,1,24.0,1639
bicarbonate_arterial__last__last_12h,rounded_2dp,2,25.0,1503
bicarbonate_arterial__last__last_12h,rounded_2dp,3,23.0,1473
bicarbonate_arterial__last__last_12h,rounded_2dp,4,26.0,1396
bicarbonate_arterial__last__last_12h,rounded_2dp,5,22.0,1338
bicarbonate_arterial__last__last_12h,rounded_2dp,6,27.0,1211
bicarbonate_arterial__last__last_12h,rounded_2dp,7,21.0,1125
bicarbonate_arterial__last__last_12h,rounded_2dp,8,28.0,972
bicarbonate_arterial__last__last_12h,rounded_2dp,9,20.0,921
bicarbonate_arterial__last__last_12h,rounded_2dp,10,29.0,766
bicarbonate_arterial__last__last_12h,rounded_2dp,11,19.0,679
bicarbonate_arterial__last__last_12h,rounded_2dp,12,30.0,614
bicarbonate_arterial__last__last_12h,rounded_2dp,13,18.0,478
bicarbonate_arterial__last__last_12h,rounded_2dp,14,31.0,476
bicarbonate_arterial__last__last_12h,rounded_2dp,15,17.0,373
bicarbonate_arterial__last__last_12h,rounded_2dp,16,32.0,372
bicarbonate_arterial__last__last_12h,rounded_2dp,17,33.0,266
bicarbonate_arterial__last__last_12h,rounded_2dp,18,16.0,244
bicarbonate_arterial__last__last_12h,rounded_2dp,19,34.0,210
bicarbonate_arterial__last__last_12h,rounded_2dp,20,15.0,180
activated_partial_thromboplastin_time__last__last_12h,exact,1,150.0,215
activated_partial_thromboplastin_time__last__last_12h,exact,2,27.399999618530273,80
activated_partial_thromboplastin_time__last__last_12h,exact,3,26.100000381469727,72
activated_partial_thromboplastin_time__last__last_12h,exact,4,25.899999618530273,70
activated_partial_thromboplastin_time__last__last_12h,exact,5,29.100000381469727,68
activated_partial_thromboplastin_time__last__last_12h,exact,6,28.299999237060547,68
activated_partial_thromboplastin_time__last__last_12h,exact,7,30.700000762939453,64
activated_partial_thromboplastin_time__last__last_12h,exact,8,26.899999618530273,64
activated_partial_thromboplastin_time__last__last_12h,exact,9,28.100000381469727,63
activated_partial_thromboplastin_time__last__last_12h,exact,10,27.899999618530273,61
activated_partial_thromboplastin_time__last__last_12h,exact,11,28.899999618530273,61
activated_partial_thromboplastin_time__last__last_12h,exact,12,27.5,61
activated_partial_thromboplastin_time__last__last_12h,exact,13,25.299999237060547,60
activated_partial_thromboplastin_time__last__last_12h,exact,14,28.399999618530273,60
activated_partial_thromboplastin_time__last__last_12h,exact,15,27.600000381469727,60
activated_partial_thromboplastin_time__last__last_12h,exact,16,27.299999237060547,60
activated_partial_thromboplastin_time__last__last_12h,exact,17,26.799999237060547,59
activated_partial_thromboplastin_time__last__last_12h,exact,18,29.0,59
activated_partial_thromboplastin_time__last__last_12h,exact,19,25.600000381469727,58
activated_partial_thromboplastin_time__last__last_12h,exact,20,27.700000762939453,58
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,1,150.0,215
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,2,27.4,80
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,3,26.1,72
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,4,25.9,70
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,5,29.1,68
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,6,28.3,68
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,7,30.7,64
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,8,26.9,64
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,9,28.1,63
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,10,27.9,61
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,11,28.9,61
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,12,27.5,61
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,13,25.3,60
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,14,28.4,60
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,15,27.6,60
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,16,27.3,60
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,17,26.8,59
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,18,29.0,59
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,19,25.6,58
activated_partial_thromboplastin_time__last__last_12h,rounded_2dp,20,27.7,58
temperature__mean__last_12h,exact,1,36.66666793823242,12830
temperature__mean__last_12h,exact,2,36.9444465637207,11983
temperature__mean__last_12h,exact,3,36.77777862548828,11274
temperature__mean__last_12h,exact,4,36.833335876464844,10623
temperature__mean__last_12h,exact,5,36.55555725097656,9403
temperature__mean__last_12h,exact,6,37.05555725097656,9309
temperature__mean__last_12h,exact,7,36.88888931274414,8132
temperature__mean__last_12h,exact,8,36.611114501953125,7658
temperature__mean__last_12h,exact,9,37.0,7639
temperature__mean__last_12h,exact,10,36.8703727722168,7638
temperature__mean__last_12h,exact,11,36.722225189208984,7457
temperature__mean__last_12h,exact,12,36.74074172973633,7313
temperature__mean__last_12h,exact,13,37.111114501953125,6863
temperature__mean__last_12h,exact,14,36.814815521240234,6757
temperature__mean__last_12h,exact,15,36.79629898071289,6730
temperature__mean__last_12h,exact,16,36.5,6512
temperature__mean__last_12h,exact,17,36.72222137451172,6443
temperature__mean__last_12h,exact,18,36.888893127441406,6242
temperature__mean__last_12h,exact,19,37.16666793823242,6024
temperature__mean__last_12h,exact,20,37.01852035522461,5954
temperature__mean__last_12h,rounded_2dp,1,36.78,15121
temperature__mean__last_12h,rounded_2dp,2,36.83,14402
temperature__mean__last_12h,rounded_2dp,3,36.89,14401
temperature__mean__last_12h,rounded_2dp,4,36.72,13955
temperature__mean__last_12h,rounded_2dp,5,36.67,13666
temperature__mean__last_12h,rounded_2dp,6,36.94,12885
temperature__mean__last_12h,rounded_2dp,7,36.81,11898
temperature__mean__last_12h,rounded_2dp,8,37.0,11784
temperature__mean__last_12h,rounded_2dp,9,36.61,11161
temperature__mean__last_12h,rounded_2dp,10,36.69,10557
temperature__mean__last_12h,rounded_2dp,11,37.06,10223
temperature__mean__last_12h,rounded_2dp,12,36.56,10111
temperature__mean__last_12h,rounded_2dp,13,37.11,8936
temperature__mean__last_12h,rounded_2dp,14,36.85,8828
temperature__mean__last_12h,rounded_2dp,15,36.93,8667
temperature__mean__last_12h,rounded_2dp,16,36.76,8644
temperature__mean__last_12h,rounded_2dp,17,36.74,8600
temperature__mean__last_12h,rounded_2dp,18,36.96,8086
temperature__mean__last_12h,rounded_2dp,19,36.8,8042
temperature__mean__last_12h,rounded_2dp,20,36.87,8030
hemoglobin__last__last_12h,exact,1,8.0,413
hemoglobin__last__last_12h,exact,2,8.199999809265137,407
hemoglobin__last__last_12h,exact,3,8.100000381469727,405
hemoglobin__last__last_12h,exact,4,8.300000190734863,399
hemoglobin__last__last_12h,exact,5,8.600000381469727,398
hemoglobin__last__last_12h,exact,6,8.399999618530273,393
hemoglobin__last__last_12h,exact,7,8.800000190734863,377
hemoglobin__last__last_12h,exact,8,8.5,377
hemoglobin__last__last_12h,exact,9,7.800000190734863,375
hemoglobin__last__last_12h,exact,10,8.699999809265137,374
hemoglobin__last__last_12h,exact,11,7.699999809265137,360
hemoglobin__last__last_12h,exact,12,8.899999618530273,360
hemoglobin__last__last_12h,exact,13,9.199999809265137,349
hemoglobin__last__last_12h,exact,14,7.900000095367432,347
hemoglobin__last__last_12h,exact,15,9.300000190734863,346
hemoglobin__last__last_12h,exact,16,9.0,338
hemoglobin__last__last_12h,exact,17,9.899999618530273,334
hemoglobin__last__last_12h,exact,18,9.699999809265137,332
hemoglobin__last__last_12h,exact,19,9.100000381469727,320
hemoglobin__last__last_12h,exact,20,7.599999904632568,315
hemoglobin__last__last_12h,rounded_2dp,1,8.0,413
hemoglobin__last__last_12h,rounded_2dp,2,8.2,407
hemoglobin__last__last_12h,rounded_2dp,3,8.1,405
hemoglobin__last__last_12h,rounded_2dp,4,8.3,399
hemoglobin__last__last_12h,rounded_2dp,5,8.6,398
hemoglobin__last__last_12h,rounded_2dp,6,8.4,393
hemoglobin__last__last_12h,rounded_2dp,7,8.8,377
hemoglobin__last__last_12h,rounded_2dp,8,8.5,377
hemoglobin__last__last_12h,rounded_2dp,9,7.8,375
hemoglobin__last__last_12h,rounded_2dp,10,8.7,374
hemoglobin__last__last_12h,rounded_2dp,11,7.7,360
hemoglobin__last__last_12h,rounded_2dp,12,8.9,360
hemoglobin__last__last_12h,rounded_2dp,13,9.2,349
hemoglobin__last__last_12h,rounded_2dp,14,7.9,347
hemoglobin__last__last_12h,rounded_2dp,15,9.3,346
hemoglobin__last__last_12h,rounded_2dp,16,9.0,338
hemoglobin__last__last_12h,rounded_2dp,17,9.9,334
hemoglobin__last__last_12h,rounded_2dp,18,9.7,332
hemoglobin__last__last_12h,rounded_2dp,19,9.1,320
hemoglobin__last__last_12h,rounded_2dp,20,7.6,315
heart_rate__mean__last_12h,exact,1,80.0,2558
heart_rate__mean__last_12h,exact,2,70.0,1983
heart_rate__mean__last_12h,exact,3,75.0,1825
heart_rate__mean__last_12h,exact,4,82.0,1767
heart_rate__mean__last_12h,exact,5,81.0,1731
heart_rate__mean__last_12h,exact,6,83.0,1713
heart_rate__mean__last_12h,exact,7,90.0,1696
heart_rate__mean__last_12h,exact,8,78.0,1693
heart_rate__mean__last_12h,exact,9,79.0,1692
heart_rate__mean__last_12h,exact,10,76.0,1681
heart_rate__mean__last_12h,exact,11,86.0,1669
heart_rate__mean__last_12h,exact,12,84.0,1656
heart_rate__mean__last_12h,exact,13,85.0,1653
heart_rate__mean__last_12h,exact,14,87.0,1646
heart_rate__mean__last_12h,exact,15,88.0,1639
heart_rate__mean__last_12h,exact,16,77.0,1582
heart_rate__mean__last_12h,exact,17,74.0,1549
heart_rate__mean__last_12h,exact,18,73.0,1526
heart_rate__mean__last_12h,exact,19,89.0,1514
heart_rate__mean__last_12h,exact,20,91.0,1435
heart_rate__mean__last_12h,rounded_2dp,1,80.0,2558
heart_rate__mean__last_12h,rounded_2dp,2,70.0,1983
heart_rate__mean__last_12h,rounded_2dp,3,75.0,1825
heart_rate__mean__last_12h,rounded_2dp,4,82.0,1767
heart_rate__mean__last_12h,rounded_2dp,5,81.0,1731
heart_rate__mean__last_12h,rounded_2dp,6,83.0,1713
heart_rate__mean__last_12h,rounded_2dp,7,90.0,1696
heart_rate__mean__last_12h,rounded_2dp,8,78.0,1693
heart_rate__mean__last_12h,rounded_2dp,9,79.0,1692
heart_rate__mean__last_12h,rounded_2dp,10,76.0,1681
heart_rate__mean__last_12h,rounded_2dp,11,86.0,1669
heart_rate__mean__last_12h,rounded_2dp,12,84.0,1656
heart_rate__mean__last_12h,rounded_2dp,13,85.0,1653
heart_rate__mean__last_12h,rounded_2dp,14,87.0,1646
heart_rate__mean__last_12h,rounded_2dp,15,88.0,1639
heart_rate__mean__last_12h,rounded_2dp,16,77.0,1582
heart_rate__mean__last_12h,rounded_2dp,17,74.0,1549
heart_rate__mean__last_12h,rounded_2dp,18,73.0,1526
heart_rate__mean__last_12h,rounded_2dp,19,89.0,1514
heart_rate__mean__last_12h,rounded_2dp,20,91.0,1435
arterial_blood_pressure_mean__mean__last_12h,exact,1,75.0,2355
arterial_blood_pressure_mean__mean__last_12h,exact,2,74.0,2347
arterial_blood_pressure_mean__mean__last_12h,exact,3,77.0,2320
arterial_blood_pressure_mean__mean__last_12h,exact,4,73.0,2312
arterial_blood_pressure_mean__mean__last_12h,exact,5,76.0,2249
arterial_blood_pressure_mean__mean__last_12h,exact,6,72.0,2204
arterial_blood_pressure_mean__mean__last_12h,exact,7,78.0,2196
arterial_blood_pressure_mean__mean__last_12h,exact,8,79.0,2159
arterial_blood_pressure_mean__mean__last_12h,exact,9,80.0,2149
arterial_blood_pressure_mean__mean__last_12h,exact,10,71.0,2107
arterial_blood_pressure_mean__mean__last_12h,exact,11,81.0,2079
arterial_blood_pressure_mean__mean__last_12h,exact,12,70.0,2067
arterial_blood_pressure_mean__mean__last_12h,exact,13,82.0,1966
arterial_blood_pressure_mean__mean__last_12h,exact,14,69.0,1962
arterial_blood_pressure_mean__mean__last_12h,exact,15,83.0,1925
arterial_blood_pressure_mean__mean__last_12h,exact,16,84.0,1906
arterial_blood_pressure_mean__mean__last_12h,exact,17,85.0,1831
arterial_blood_pressure_mean__mean__last_12h,exact,18,68.0,1807
arterial_blood_pressure_mean__mean__last_12h,exact,19,87.0,1747
arterial_blood_pressure_mean__mean__last_12h,exact,20,86.0,1688
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,1,75.0,2355
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,2,74.0,2347
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,3,77.0,2320
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,4,73.0,2314
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,5,76.0,2251
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,6,72.0,2204
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,7,78.0,2196
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,8,79.0,2159
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,9,80.0,2149
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,10,71.0,2107
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,11,81.0,2079
